,logFC,AveExpr,t,P.Value,adj.P.Val,B
DYSF,1.66758357193021,8.75653094745312,6.85277168296245,3.08278628719428e-08,4.38194902121777e-06,8.8719171178894
SLC25A37,1.14782466122251,10.5019275395227,6.8526365824599,3.0841215580079e-08,4.38194902121777e-06,8.87150119242269
USP11,-0.732615538756025,4.89482493506384,-6.85214421098201,3.08899285311489e-08,4.38194902121777e-06,8.86998535007025
MARC1,1.47866372440896,4.99366499253763,6.85208984615208,3.0895311875509e-08,4.38194902121777e-06,8.86981797859268
LOXL1,1.6070596285346,0.921732384200807,6.85075747042564,3.10275423801862e-08,4.38194902121777e-06,8.8657159765418
KCNC4,-1.10060038241542,2.85029806652924,-6.8492457734797,3.11782586599358e-08,4.38194902121777e-06,8.86106176984473
SECTM1,1.67284097583089,9.14948659351961,6.84883421205611,3.12194186896867e-08,4.38194902121777e-06,8.85979463293391
CR2,-2.062840617401,2.12146749182358,-6.84881882078552,3.12209590214279e-08,4.38194902121777e-06,8.8597472452898
AC078785.1,-1.0845293547427,-0.229070577754373,-6.84828437615901,3.12744927343313e-08,4.38194902121777e-06,8.85810175384007
GEMIN4,-0.794631258306557,3.81635831371493,-6.84731762753147,3.13715636131023e-08,4.38194902121777e-06,8.85512520731775
PFKFB4,1.1438868767182,6.89439055712254,6.84436168412135,3.16702520165654e-08,4.40553972928797e-06,8.84602374051213
PLP2,1.13567665447398,7.22641819862562,6.83804811376147,3.2317828184835e-08,4.47727234387621e-06,8.8265823039188
